variant,age,sex,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
migration_category,21,2,327164,338910.992,347729.995,356831.005,354968.0029999999,353707.9909999999,359881.993,374680.9970000001,372691.0040000001,376202.99799999996,381098.00399999996,382432.011,373996.005,367271.0040000001,366333.991,369760.005,362564.994,356072.0030000001,352656.998,349203.005,340794.99900000007,343717.99199999997,328715.002,328605.999,330053.00399999996,329867.994
migration_category,22,1,345333,354207.999,367372.005,378161.99000000005,387410.005,385822,382079.99999999994,388039.00099999993,402198.011,400365,404077.998,409882.0069999999,409974.99799999996,402176.99399999995,393814.992,393130.00299999997,397740.99799999996,389237.99199999997,382742.998,380249.0029999999,375464.996,367227.0040000001,370671.99600000004,355670.995,355466.995,356946.99600000004
migration_category,22,2,333718,343052.00099999993,351985.993,354553.00399999996,362243.99900000007,360333.0049999999,359542.004,366250.0000000001,381248.00100000005,379274.0020000001,382781.0040000001,387683.005,389020.00700000004,380585.9970000001,373855,372912.994,376338.003,369147.997,362648.002,359228.999,355768.998,347358.00100000005,350271.004,335270.99400000006,335152.00700000004,336598.007
migration_category,23,1,358405,364280.004,369346.00399999996,374644.00100000005,383572.0010000001,392765.00100000005,391886.99600000004,388961.00000000006,395216.99700000003,409390.00399999996,407578.00700000004,411291.997,417102.99000000005,417204.99700000003,409400,401031.008,400341.999,404954.99400000006,396454.001,389945,387439.998,382648.00200000004,374399.00100000005,377835.99,362831.9930000001,362605.0019999999
migration_category,23,2,350933,355226.00200000004,360485.99899999995,360741.006,361286.00000000006,368904.00299999997,367710.997,367748.98899999994,374765.9999999999,389782.99600000004,387824.998,391329.99500000005,396242.0050000001,397581.00999999995,389142.005,382399.001,381448.004,384876.99299999996,377681.99299999996,371165.00099999993,367734.99899999995,364266.00299999997,355839.9910000001,358743,343738.01,343606.993
migration_category,24,1,360393,376556.00299999997,377987.00099999993,374731.9980000001,377905.99600000004,386753.004,396890.00100000005,397086.9970000001,394552.004,400812.007,415002.995,413211.99600000004,416925.99899999995,422747.005,422854.00100000005,415040.003,406662.00100000005,405970.00299999997,410587.99499999994,402082.99799999996,395558.004,393044.00100000005,388239.99999999994,379977.00399999996,383411,368396.9959999999
migration_category,24,2,358919,369982.00100000005,369356.99599999987,365630,363549.005,363988.00200000004,372663.0019999999,372682.007,373162.006,380187.0040000001,395225.997,393276.99799999996,396787,401704.99199999997,403044.998,394601.003,387844.9919999999,386886.994,390318.00299999997,383111.99600000004,376580.99900000007,373142.0050000001,369664.00600000005,361220.9970000001,364115.99700000003,349105.01
migration_category,25,1,365952,375210.995,387141.9969999999,381176.9900000001,375940.99700000003,379010.001,388822.99700000003,400056.9980000001,400647.997,398115.998,404379.003,418584.001,416806.995,420522.0029999999,426350.99600000004,426461.00600000005,418639.99799999996,410259.00099999993,409566.001,414187.99199999997,405677.00299999997,399142.9980000001,396621.99999999994,391810,383538,386968.999
migration_category,25,2,368166,373471.99799999996,380030.9999999999,371796.99900000007,365980.00000000006,363782.99700000003,365271.99999999994,375147.00299999997,375591.99999999994,376072.9959999999,383104.99900000007,398159.00100000005,396218.003,399731.99500000005,404652.996,405994.003,397547.001,390780.999,389820.004,393251.998,386037.994,379497.00299999997,376053.0029999999,372568.994,364111.99700000003,367005.0019999999
migration_category,26,1,360458,380923.98899999994,386533.99900000007,391559.99900000007,383854.00800000003,378539.0060000001,382361.005,393048.998,404591.995,405183.99499999994,402654,408919.99500000005,423132.005,421363.007,425078.00499999995,430912.001,431024.0020000001,423203,414821.992,414129.9959999999,418753.0030000001,410241.00500000006,403702.994,401180.001,396364.99799999996,388089.995
