variant,age,sex,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
migration_category,12,1,356627,364323.00299999997,365705.001,357949.00600000005,349363.98999999993,348448.997,352925.00200000004,344300.00099999993,337732.0010000001,335191.99199999985,330333.00299999997,322004.00399999996,325450.00500000006,310384.002,310141.00800000003,311629.01100000006,311470.00600000005,310738.00999999995,310223.9959999999,310182.006,310326.00000000006,310566.99900000007,310884.005,311453.00000000006,312344.005,313430.99999999994
migration_category,12,2,339745,346277.994,348762.99400000006,340430,333536,332408.00200000004,335723.99400000006,328467.99700000003,321916.998,318474.988,314998.99700000003,306539.995,309430.00500000006,294408.998,294315.003,295769.995,295598.003,294890.99900000007,294397.99399999995,294351.998,294496.011,294724.00000000006,295028.002,295569,296419.007,297451.995
migration_category,13,1,353934,359538.99399999995,366711.00000000006,366892.005,358874.996,350286.996,349456.007,354027.0010000001,345440.01,338877.003,336338.999,331484.005,323159.013,326606.001,311545.002,311305.00599999994,312791.98799999995,312633.995,311903.002,311388.999,311347.006,311492.00200000004,311732.99799999996,312050.005,312618.001,313510.00899999996
migration_category,13,2,337221,342370.99000000005,348443.003,349859,341292.005,334398.006,333341,336737.00200000004,329512.0040000001,322966.9960000001,319527.00200000004,316052.99500000005,307599.00399999996,310491.00499999995,295470.996,295382.0040000001,296836.99700000003,296664.996,295958.005,295463.995,295421.0010000001,295564,295791.989,296095.99899999995,296636.994,297487.004
migration_category,14,1,357058,357217.001,362310.99499999994,368214.99500000005,368129.005,360111.00000000006,351594.9979999999,350844,355444.00100000005,346860.996,340302.002,337767.99799999996,332916.0120000001,324594.99799999996,328043.0040000001,312987.003,312749.005,314236.00299999997,314077.99799999996,313346.995,312834.006,312792.9969999999,312938.99700000003,313179.99899999995,313496,314065.004
migration_category,14,2,340444,340091.00399999996,344802.00299999997,349771.00200000004,350957.00700000004,342389.001,335556.00800000003,334565.0070000001,337984.997,330762.99700000003,324221.003,320785.00499999995,317313.00000000006,308863.996,311756.0029999999,296741.004,296652.99499999994,298107.99700000003,297936.00100000005,297229.998,296737.99700000003,296694.00099999993,296837.00899999996,297063.99700000003,297367.994,297910.00299999997
migration_category,15,1,344199,360794.0029999999,360432.99600000004,364153.005,369777.00800000003,369687.00099999993,361732.9910000001,353287.00200000004,352563.008,357164.002,348585.002,342030,339499.005,334650.005,326332.996,329783.99799999996,314730.997,314495.99500000005,315981.996,315823.998,315093.999,314582.994,314542.997,314689.001,314927.99400000006,315244.996
migration_category,15,2,326783,343681.00100000005,342887.00000000006,346417.0049999999,351148.00100000005,352331.00499999995,343814.004,337038.99600000004,336069.99799999996,339490.00099999993,332269.995,325731.99799999996,322298.003,318830.00099999993,310384.001,313278.99199999997,298264.004,298178.00800000003,299633,299463.00200000004,298755.99400000006,298265.0029999999,298221.0020000001,298363.99700000003,298590.999,298896.007
migration_category,16,1,338370,348473.003,364522.00199999986,362644.99899999995,366067.994,371687.985,371653.0020000001,363760.99500000005,355340.995,354621.01499999996,359222.0019999999,350647.9939999999,344097.003,341567.0080000001,336722.008,328411.0119999999,331860.998,316814.0040000001,316581,318066.00499999995,317909.01,317180.011,316668.99700000003,316629.99199999997,316776.001,317015
migration_category,16,2,320332,330428.99600000004,346866.99799999996,344789.9989999999,348070.01,352798.99899999995,354023.991,345557.001,338802.001,337834.992,341256.00499999995,334038.002,327502.997,324072,320606.00500000006,312163.9959999999,315060.003,300048.001,299964,301420.00599999994,301249.0080000001,300542.995,300052.003,300009.002,300152.004,300380.002
migration_category,17,1,340215,344002.99100000004,353421.008,367516.99999999994,365263.0030000001,368683.999,374365.00899999996,374403.001,366539.00299999997,358124.0049999999,357406.99100000004,362008.00300000014,353439.002,346892.003,344364.997,339524.001,331215.00100000005,334665.999,319624.00600000005,319391.005,320876.005,320719.00200000004,319992,319481.9959999999,319443.0099999999,319589.99799999996
migration_category,17,2,319237,324912,334448.99799999996,349298.003,346915.006,350192.99899999995,354969.008,356251.99499999994,347807.993,341056.007,340091.005,343512.992,336297.001,329764.99999999994,326336.00800000003,322870.99600000004,314433.99899999995,317329.99799999996,302322.003,302237.99700000003,303693.00299999997,303524.00100000005,302818.006,302328.007,302283.99600000004,302426.99900000007
migration_category,18,1,341672,349753.99999999994,352418.005,358561.99799999996,372030.0009999999,369765.99899999995,373281.00100000005,379065.003,379139,371281.98800000007,362876.00399999996,362164.0089999999,366765.007,358203.00100000005,351663.991,349141.004,344306,336002.999,339457.998,324418.0019999999,324192.008,325676.99899999995,325522.01200000005,324794.00499999995,324286.004,324247.9959999999
migration_category,18,2,320850,327313.99900000007,332052.9969999999,338847.9980000001,353171.997,350784.00899999996,354137.004,358995.998,360312.00099999993,351869.994,345121.00399999996,344158.999,347581.992,340368.011,333839.9949999999,330412.99900000007,326949.993,318516.989,321414.0020000001,306409.003,306326.00700000004,307782.00299999997,307613.00800000003,306907.00299999997,306416.006,306372
migration_category,19,1,339162,358093.99799999996,364346.99500000005,361364.997,366458.00299999997,379914.004,377754.99600000004,381397.99400000006,387226.9930000001,387288.997,379455.9979999999,371066.99399999995,370367.002,374971.99500000005,366418.003,359905.00099999993,357393.00100000005,352575.001,344295.99900000007,347763.00399999996,332721.001,332517.99899999995,334006.00299999997,333846.9960000001,333118.995,332611.00599999994
migration_category,19,2,319276,335522.00499999995,340464.00000000006,340324.99299999996,346206.99900000007,360531.9980000001,358240.99600000004,361706.003,366590.99700000003,367923.004,359481.004,352736.00399999996,351780.0020000001,355211,347998.995,341482.0019999999,338063,334596.99199999997,326171.00200000015,329070.99499999994,314081.005,313979.00200000004,315432.998,315258.006,314546.992,314051.003
migration_category,20,1,338319,357876.0040000001,374572.00399999996,374268.997,370044.993,375130.008,388736.999,386758.9919999999,390470.00299999997,396283.00800000003,396354.007,388543.0020000001,380174.998,379485.00499999995,384093.00100000005,375563.00200000004,369069.98999999993,366572.99900000007,361780.99600000004,353531.01900000003,356991.99700000003,341970.00200000004,341784.008,343268.003,343107.00600000005,342378.9880000001
migration_category,20,2,324981,335957.004,350293.999,349535.00500000006,348300.00099999993,354181.00500000006,368657.00499999995,366537,370057.996,374947.99499999994,376283.00399999996,367840.9860000001,361107.0039999999,360167.003,363597.9979999999,356390.99000000005,349893.003,346472.993,343015.998,334597.01,337519.002,322513.99999999994,322407.999,323857.00600000005,323674.0040000001,322957.99899999995
migration_category,21,1,338389,354458.99700000003,371602.993,382289.003,380743.00099999993,376497.99700000003,381887.9969999999,395834.995,393987.9860000001,397699.9910000001,403503.001,403584.99600000004,395787.001,387427.0050000001,386741.999,391349.99899999995,382838.99999999994,376351.99700000003,373859.9989999999,369080.002,360843.008,364295.994,349290.99500000005,349101.00599999994,350584.001,350421.99899999995
